VALUE,YEAR,AREA,FLOORS ,ROOMS,REMODEL
High,1900,5,2,9,1
Low,1950,3,1,5,0
High,2000,3,2,6,0
Low,1954,3,1,5,0
Low,1930,3,1,6,2
Low,1965,2,2,6,0
Low,1950,3,1,6,0
Low,1950,3,1,5,0
Low,1929,4,1,6,0
Low,1960,3,1,7,0
Low,1951,4,1.5,10,1
Low,1940,4,1.5,7,0
Low,1934,3,2,6,1
Low,1965,2,2,6,0
Low,1950,3,1.5,6,0
High,1950,5,1.5,10,2
Low,1930,3,1,9,0
Low,1920,3,2,7,0
Low,1950,1,1,5,0
Low,1930,2,1,5,0
Low,1934,3,1,6,0
Low,1950,3,1.5,6,0
Low,1945,3,1,6,0
Low,1946,3,2,9,0
Low,1935,3,2,7,0
Low,1939,3,2,6,0
Low,1950,3,1.5,7,2
High,1950,4,2,8,2
Low,1950,3,1.5,5,0
Low,1960,3,2,8,0
Low,1934,4,1,5,0
High,2009,5,2,8,0
Low,1961,3,2,6,0
Low,1924,3,1.5,6,0
Low,1928,3,1,5,0
Low,1950,1,1,5,0
Low,1953,3,1.5,6,2
Low,1930,3,2,5,0
Low,1940,3,1,6,1
Low,1950,2,1,4,0
High,1920,6,1,9,1
Low,1927,3,1,6,0
Low,1943,3,1.5,5,1
Low,1925,4,1.5,5,2
Low,1945,3,2,6,0
Low,1950,3,1,5,0
Low,1950,1,1,5,2
Low,1960,3,1,8,0
Low,1950,2,1,5,0
Low,1935,2,1,5,0
Low,1950,3,1,6,2
Low,1960,3,1,5,0
High,2007,4,2,8,0
Low,1950,3,1,7,0
Low,1961,3,1,5,0
Low,1915,3,2,6,0
Low,1950,3,1,7,2
Low,1940,4,1,6,0
Low,1920,2,1,4,0
Low,1927,4,2,8,2
Low,1960,3,2,6,0
Low,1961,2,1,5,0
Low,1924,3,1.5,6,0
Low,1930,3,1,5,2
Low,1963,2,1,5,0
Low,1930,2,1,4,1
Low,1927,3,1.5,5,1
Low,1925,4,1,7,0
Low,1929,3,2,6,2
Low,1962,3,1.5,8,0
Low,1940,3,1.5,6,0
Low,1947,5,1.5,9,1
Low,1935,3,2,6,0
High,1950,4,2,9,2
Low,1928,3,1,4,0
Low,1935,3,2,6,1
Low,1960,2,1,5,0
Low,1940,3,1,5,0
Low,1935,2,2,6,0
Low,1925,4,1,7,0
Low,1950,2,1,6,0
Low,1950,4,1,6,0
Low,1929,2,1,5,0
Low,1956,3,1,8,0
Low,1950,3,1,5,0
Low,1928,4,1,7,0
Low,1920,4,1,5,0
Low,1950,3,1,6,0
Low,1960,3,1,5,0
Low,1915,3,2,7,2
Low,1930,2,1,5,0
Low,1935,3,2,6,0
Low,1950,3,2,7,1
Low,1950,1,1,5,0
Low,1920,3,1,7,0
Low,1896,4,2,9,0
Low,1950,3,1.5,5,0
Low,1955,3,1,6,0
High,2008,5,2,7,0
Low,1960,4,2,6,1
Low,1930,3,2,6,2
Low,1960,3,1,6,1
Low,1950,3,1,5,0
Low,1935,3,2,7,0
Low,1930,2,1,5,0
High,1997,3,2,6,0
Low,1950,2,1.5,5,0
Low,1955,3,1,6,0
Low,1945,2,1,4,0
Low,1950,3,1,7,0
Low,1930,3,1,5,0
Low,1925,4,2.5,7,2
Low,1950,2,1,6,2
Low,1935,2,1,5,0
Low,1960,3,2,6,0
Low,1920,3,2,6,0
Low,1950,4,1.5,5,1
Low,1935,3,2,6,2
Low,1950,2,1,4,0
High,1960,3,2,7,2
High,1950,5,2,5,2
Low,1945,2,1,4,0
Low,1925,4,1,5,1
Low,1935,3,2,6,1
Low,1929,2,1,4,0
Low,1950,2,1,5,0
Low,1924,3,1,6,2
Low,1960,4,1,6,0
Low,1900,3,1.5,7,0
Low,1940,3,2,6,0
Low,1941,2,1.5,6,0
Low,1950,2,1,7,0
Low,1948,2,2,6,0
Low,1883,3,2,8,1
Low,1953,3,2,7,1
Low,1940,2,2,8,2
Low,1930,3,2,6,0
Low,1950,3,1,4,0
Low,1950,3,1,6,0
Low,1950,4,1,7,2
Low,1941,3,1.5,6,0
High,2001,4,2,7,0
High,2007,5,2,8,0
Low,1950,3,2,7,1
Low,1940,3,1,6,0
Low,1950,3,2,6,0
High,1989,4,2,8,0
High,1989,3,2,9,0
Low,1920,2,1,5,0
Low,1941,3,1.5,6,0
Low,1915,2,1,4,0
Low,1950,3,2,7,2
Low,1925,3,1,5,0
Low,1942,3,1.5,6,0
Low,1953,3,1,5,0
High,2003,4,2,10,0
Low,1920,3,1.5,5,0
Low,1910,3,1.5,6,1
Low,1950,3,1,7,0
Low,1860,3,2,7,1
Low,1930,4,1.5,7,0
Low,1950,3,1,5,0
High,2004,5,2,9,0
Low,1935,4,2,7,0
Low,1950,3,1,6,0
Low,1955,3,1,7,0
Low,1915,3,1.5,6,0
Low,1935,3,1.5,7,0
Low,1925,3,1.5,7,0
Low,1928,2,1,5,0
High,1989,3,2,7,0
Low,1950,3,1,6,0
Low,1960,3,1,6,0
Low,1920,3,2,7,2
High,2005,5,2,8,0
Low,1950,4,1,8,0
Low,1920,3,2,7,1
Low,1969,3,1,5,0
Low,1952,3,1.5,8,0
Low,1950,3,1,4,0
Low,1958,3,1,4,0
Low,1945,2,1,4,0
Low,1925,2,1,5,0
Low,1928,2,1,5,0
High,1989,3,2,7,0
Low,1935,4,2,9,0
High,2011,6,2,9,0
High,1989,3,2,8,0
Low,1940,3,2,7,2
Low,1965,3,2,7,0
Low,1935,3,2,6,1
Low,1960,3,1,8,1
High,1940,6,1.5,10,0
Low,1950,3,1.5,6,0
Low,1910,3,2,5,0
Low,1953,3,1.5,6,0
High,2005,5,2,8,0
Low,1955,3,1,9,0
Low,1970,2,1,5,0
Low,1955,2,1,4,0
Low,1925,2,1,5,0
High,2011,5,2,8,0
Low,1925,3,1,5,0
Low,1920,3,2,7,0
Low,1950,3,1,5,0
Low,1929,4,1,8,0
High,1989,4,2,6,2
High,1989,3,2,7,0
Low,1964,3,2,9,0
Low,1955,4,1.5,7,0
Low,1935,3,1.5,6,0
High,2004,5,2,8,0
Low,1922,3,2,6,1
High,2005,5,2,8,0
Low,1958,3,1,5,0
Low,1958,3,1,6,0
Low,1950,3,1,8,0
Low,1925,3,1,6,0
Low,1989,3,2,7,0
Low,1959,3,1.5,6,1
Low,1940,4,2,8,2
High,1989,3,2,9,0
Low,1950,3,1,6,0
High,2004,5,2,8,0
Low,1950,3,1,6,2
Low,1935,3,2,7,0
Low,1955,4,1.5,6,1
Low,1940,3,1.5,7,0
Low,1925,3,1,5,0
Low,1950,3,1,5,0
Low,1935,3,2,7,0
Low,1950,3,1,6,1
Low,1950,3,1,6,0
Low,1950,3,1,7,0
Low,1957,3,1.5,7,0
Low,1920,3,2,6,0
High,1989,3,2,7,0
Low,1989,3,2,7,0
High,1970,3,2,6,0
Low,1950,3,1,6,0
High,1989,3,2,7,0
High,2011,6,2,10,0
Low,1899,3,2,6,0
Low,1950,3,2,7,0
Low,1950,2,1,5,0
Low,1925,3,1,6,0
Low,1960,3,1,8,0
Low,1925,3,1.5,6,0
Low,1950,3,1.5,7,2
Low,1950,3,1,7,0
Low,1950,3,2,5,0
Low,1950,3,1,6,0
High,1950,5,1.5,10,2
High,1989,3,2,7,0
Low,1905,2,1.5,6,0
Low,1984,2,1,5,0
Low,1950,3,1,5,0
Low,1950,3,1,5,2
Low,1920,3,2,7,2
Low,1950,4,1,6,0
Low,1940,3,2,5,0
Low,1950,3,1.5,6,0
Low,1900,2,1.5,5,0
Low,1950,3,1,4,0
Low,1960,3,2,7,0
Low,1960,3,1,6,0
Low,1950,3,1,6,0
Low,1960,3,1.5,6,0
Low,1985,3,2,6,0
Low,1920,3,2,7,0
Low,1960,3,2,6,0
High,1989,3,2,7,0
Low,1910,2,1.5,5,2
Low,1992,3,2,5,0
Low,1945,3,1,7,0
Low,1920,2,1,7,2
Low,1950,2,1,5,0
Low,1925,3,2,6,0
High,1978,4,1,9,0
High,1959,4,2,8,2
Low,1920,3,1,5,0
Low,1950,4,1,8,0
Low,1953,4,1,7,0
Low,1960,3,1,6,0
High,1985,4,2,8,0
Low,1890,4,2,8,0
Low,1950,3,1,5,0
Low,1894,3,2,5,1
High,1900,3,2,7,0
High,1990,4,2,7,0
High,1989,3,2,7,0
Low,1900,2,2,7,0
High,1991,3,1,5,0
Low,1925,3,1.5,7,0
Low,1925,2,1,5,0
Low,1900,4,2,10,0
Low,1925,3,1,7,0
Low,1950,3,1,5,2
Low,1950,4,1,6,0
Low,1950,3,1.5,6,0
Low,1925,3,1,6,0
Low,1935,2,2,7,1
High,1900,4,2,7,2
Low,1950,2,1,4,0
Low,1920,3,2,7,0
Low,1955,3,2,6,0
Low,1960,3,1.5,7,0
High,1985,4,2,8,0
Low,1950,2,1,4,0
Low,1920,3,2,7,0
Low,1985,3,2,7,0
Low,1955,2,1,4,0
Low,1920,3,2,7,0
Low,1925,3,2,6,1
Low,1925,4,1,7,0
High,1984,4,1,7,0
Low,1950,3,1,7,0
Low,1920,3,2,7,1
Low,1930,3,1.5,7,0
High,1890,3,2,8,0
High,2003,4,2,10,0
Low,1925,3,2,7,0
Low,1920,3,2,7,0
Low,1915,4,1,7,1
Low,1940,3,1,6,0
Low,1922,4,2,10,1
High,1984,4,2,9,2
High,2010,4,2,8,0
Low,1955,3,2,6,0
Low,1895,3,2.5,8,2
Low,1961,4,1.5,7,0
Low,1920,3,2,9,0
Low,1920,3,2,6,0
High,1989,3,2,7,0
Low,1960,3,1.5,6,0
Low,1970,3,2,9,0
High,2003,4,2,8,0
High,1985,3,2,8,0
Low,1920,3,1.5,6,0
High,1845,5,2,9,1
High,1984,3,2,8,0
Low,1908,3,2,6,0
Low,1920,3,2,7,0
Low,1950,2,1,4,0
High,1914,3,1.5,7,1
Low,1925,2,1,5,0
Low,1960,4,1.5,6,1
High,1960,4,1,10,2
Low,1920,3,2,9,0
High,2003,5,2,8,0
Low,1993,3,1,4,0
Low,1940,4,1,6,0
High,1985,4,2,9,0
Low,1960,3,1,6,1
High,2008,5,2,7,0
High,1989,3,2,8,0
Low,1950,3,1,6,0
High,1984,4,1.5,6,0
Low,1953,3,1.5,6,0
High,1973,3,1,5,2
Low,1940,3,2,6,0
Low,1920,4,2,6,0
Low,1950,4,1,4,1
High,1950,4,1.5,10,1
High,1900,3,2,7,0
Low,1955,3,1,6,0
High,1993,4,2,6,0
Low,1925,4,1.5,8,0
Low,1955,2,2,6,1
Low,1962,3,2,6,2
High,1917,3,2,7,2
Low,1940,3,1,6,0
High,1993,4,2,6,0
Low,1955,3,2,6,0
Low,1955,3,2,6,0
High,1984,4,2,8,0
Low,1950,4,1.5,6,0
Low,1940,3,1.5,7,2
High,1994,4,2,8,2
High,1972,3,1,5,1
High,1993,4,2,9,0
Low,1933,3,1.5,6,2
Low,1960,3,1,6,0
Low,1954,2,1,5,0
Low,1925,3,1,4,0
Low,1950,2,1,5,0
Low,1950,3,1,6,0
Low,1984,3,2,6,0
High,2009,5,2,7,0
Low,1963,3,1,5,0
Low,1960,3,1,6,0
Low,1920,2,2,6,0
Low,1920,4,1,5,0
Low,1940,4,1.5,6,1
High,1930,4,2,6,1
Low,1916,3,2,7,0
High,1988,5,1.5,6,0
Low,1945,3,1,5,0
Low,1960,3,1,5,0
Low,1950,3,1.5,6,2
Low,1960,3,1,8,0
Low,1930,2,1,5,0
Low,1965,3,1,5,0
High,1950,4,2,7,2
Low,1960,2,1,4,0
Low,1984,3,2,7,0
Low,1960,3,1,5,0
Low,1930,2,2,8,0
Low,1925,2,1,5,0
Low,1920,3,1,5,0
Low,1940,2,1,5,2
High,1880,4,2,7,2
High,2003,6,2.5,9,0
Low,1925,3,1.5,7,1
High,1917,4,2,8,2
Low,1950,3,1,6,0
Low,1960,3,1,6,2
Low,1955,3,1,8,0
High,1994,4,2,7,2
Low,1973,3,1,6,0
Low,1960,3,1,6,2
Low,1910,2,1,5,2
Low,1985,4,2,8,0
High,1890,5,2,8,1
High,1994,4,2,6,0
High,1994,4,2,8,0
Low,1960,2,1,5,0
Low,1950,3,1,7,0
Low,1950,3,1,8,0
Low,1955,2,2,6,0
Low,1920,3,2,6,0
Low,1951,3,2,8,1
Low,1930,3,2,6,0
High,1950,3,1.5,6,2
Low,1915,4,1,6,0
High,1900,4,2,8,2
Low,1960,3,1,5,1
Low,1950,3,1,6,0
Low,1961,3,1,6,0
Low,1960,3,1,5,2
Low,1920,2,1,6,0
Low,1955,2,2,7,2
High,1984,4,2,8,0
High,1927,5,1.5,9,0
Low,1955,3,1,6,0
High,1987,6,2,9,0
Low,1960,3,1,5,0
Low,1970,3,2,7,0
Low,1900,3,2,6,0
Low,1960,2,1,5,0
Low,1930,3,2,7,2
Low,1955,3,1,6,0
Low,1850,4,2,7,0
Low,1950,3,2,6,0
Low,1950,3,1,6,1
Low,1950,3,1.5,7,0
High,1965,4,1.5,10,0
Low,1935,2,1,5,0
Low,1950,3,1,6,0
Low,1950,4,1,7,1
Low,1950,3,1,6,0
Low,1951,2,1,5,0
Low,1960,3,1.5,6,1
Low,1961,3,1,6,0
Low,1960,2,1,6,0
Low,1955,3,1.5,8,0
Low,1929,4,1,7,2
Low,1954,2,1,6,1
Low,1955,2,1,4,0
High,1989,4,2,7,0
Low,1950,3,1.5,6,0
Low,1954,3,2,7,0
Low,1958,4,1,6,0
High,1980,4,1.5,9,2
High,1910,4,2,9,2
Low,1920,3,2,8,0
Low,1959,3,1.5,6,2
High,1903,3,2,6,0
Low,1950,3,1,6,0
Low,1951,2,1,7,0
High,1989,6,2,10,0
High,1930,5,2.5,7,2
Low,1950,3,1,6,0
Low,1961,3,1,6,0
Low,1960,3,1,5,0
Low,1920,3,2,9,0
High,1910,3,2,6,0
Low,1950,2,1,5,1
Low,1963,2,1,5,0
High,1963,3,2,8,0
Low,1922,4,1,8,2
Low,1960,3,1,6,0
Low,1960,2,1,6,0
High,1963,4,2,9,2
Low,1955,3,1,6,0
Low,1950,3,1,5,0
Low,1910,3,2,8,0
Low,1890,3,2,8,0
Low,1963,3,2,7,0
Low,1960,3,2,6,0
High,1950,4,2,8,1
Low,1960,5,2,10,2
High,2004,6,2,12,0
Low,1963,3,1.5,6,0
Low,1960,3,1,6,0
Low,1935,3,1.5,6,0
High,1989,4,2,7,0
High,2010,5,2,8,0
Low,1915,4,2,7,0
Low,1987,3,2,7,0
Low,1950,2,1,5,0
Low,1960,2,1,4,0
Low,1955,4,1.5,6,1
Low,1910,3,1.5,6,1
Low,1950,3,1,7,0
Low,1920,3,1.5,6,0
Low,1960,3,1,6,0
Low,1936,2,1,5,1
Low,1960,3,1,5,1
Low,1945,3,1,7,0
High,1989,4,2,7,0
High,1965,3,1.5,7,0
High,1940,3,2,7,1
Low,1950,2,1,5,0
Low,1920,3,1.5,6,1
Low,1959,4,1.5,6,1
High,1981,3,1.5,7,1
High,0,5,2,8,2
Low,1960,3,1,5,0
Low,1925,2,2,7,0
Low,1959,3,2,7,1
Low,1951,3,2,6,0
Low,1992,3,2,7,0
Low,1925,2,1.5,6,2
Low,1920,3,1.5,6,2
Low,1936,3,1,5,0
Low,1960,3,1,7,0
Low,1960,3,1,6,0
High,1930,3,2,7,0
High,1993,4,2,7,0
Low,1950,3,1,5,0
Low,1960,3,1,6,0
Low,1960,3,1,5,0
Low,1973,3,2,7,1
Low,1955,3,1.5,6,2
High,2002,5,2,7,0
Low,1929,4,1,5,2
Low,1960,3,1,6,1
Low,1981,3,1.5,6,0
Low,1920,3,2,7,0
High,2006,4,2,7,0
Low,1960,3,1,5,0
Low,1957,3,1,5,2
Low,1960,2,1,5,0
Low,1940,3,1,6,0
High,1970,5,1,8,1
Low,1894,3,1.5,7,0
Low,1960,2,1,5,0
Low,1913,4,1,7,2
High,1951,4,2,9,2
Low,1960,4,2,6,1
Low,1905,3,1.5,6,1
Low,1960,3,1.5,6,1
Low,1920,2,2,6,0
High,1965,4,1,8,2
Low,1950,2,1,5,0
Low,1956,3,1,5,0
Low,1920,4,2,6,1
Low,1981,3,1.5,6,0
Low,1945,3,1.5,6,0
Low,1966,3,1.5,7,0
Low,1983,3,1.5,5,2
Low,1933,3,2,6,0
High,2001,5,2,8,0
Low,1925,4,1.5,8,2
Low,1920,3,2,7,0
High,1907,3,2.5,8,2
Low,1950,3,1,7,0
Low,1930,4,2,7,0
Low,1950,3,1,5,0
Low,1950,2,1,5,0
Low,1960,3,1,6,0
High,1991,6,2,7,0
High,1920,4,2,7,0
Low,1959,3,1.5,8,0
Low,1957,3,1,6,0
Low,1920,4,1,4,0
Low,1950,3,1.5,7,2
Low,1961,3,1,6,0
High,1960,4,2,8,0
Low,1920,3,2,7,1
High,1970,3,1,7,0
High,2004,5,2,8,0
High,2001,4,2,7,0
Low,1932,2,1,5,2
Low,1875,2,1.5,5,0
Low,1925,4,1,6,2
Low,1950,3,1,6,0
Low,1961,3,1.5,8,0
High,1999,3,2,8,0
Low,1960,3,1.5,6,0
Low,1928,3,2,8,0
Low,1957,3,1,8,0
Low,1951,4,1,7,0
High,2001,4,2,7,0
Low,1950,3,1.5,6,0
Low,1900,3,1.5,6,0
Low,1920,3,2,7,0
Low,1961,3,1,5,1
Low,1920,4,1,7,0
Low,1925,3,2,6,2
High,1920,4,2,8,2
Low,1969,3,1.5,8,0
High,1952,5,1,12,0
High,1960,5,2,8,2
Low,1956,3,1,5,1
Low,1948,3,1,6,0
Low,1957,3,1,6,0
Low,1920,2,2,7,0
High,1940,3,2,6,2
High,2004,5,2,8,0
High,1890,3,2,6,0
Low,1935,3,1,8,0
Low,1950,3,2,6,2
Low,1935,3,2,7,0
High,1890,5,1.5,5,2
Low,1955,3,1.5,6,2
High,2001,4,2,7,0
High,1910,3,2,6,1
Low,1928,3,2,7,0
Low,1961,3,1,5,0
Low,1956,3,1.5,6,0
Low,1950,3,1,6,0
Low,1960,3,1.5,7,0
High,1967,3,1,9,0
Low,1800,3,1.5,6,0
High,1961,3,2,7,2
High,1988,6,2,10,0
High,2004,4,2,8,0
High,2001,4,2,8,0
Low,1935,2,1,5,1
Low,1870,3,1.5,6,1
High,2001,3,2,11,0
Low,1950,3,1,7,1
High,1900,3,1.5,8,1
Low,1957,3,1,6,0
Low,1945,3,1,5,1
Low,1930,4,1.5,7,0
Low,1930,3,2,8,2
Low,1930,3,1.5,7,0
Low,1920,3,1.5,7,0
Low,1956,3,2,7,1
Low,1956,3,2,7,0
Low,1920,3,1.5,6,0
High,1959,4,1.5,8,2
Low,1950,3,1,6,0
Low,1900,3,1.5,7,0
Low,1960,2,1,5,0
High,1967,4,1.5,8,1
High,1985,4,2,6,0
Low,1950,3,1.5,6,0
Low,1971,3,1.5,7,0
Low,1957,3,1,6,1
Low,1910,3,2,8,0
High,2005,6,2,8,0
Low,1935,4,1.5,7,2
Low,1940,3,1,5,1
Low,1950,4,2,7,0
Low,1920,3,1,6,1
Low,1900,3,1.5,6,1
Low,1950,4,1.5,6,1
Low,1900,3,1.5,6,0
High,1967,4,2,8,0
Low,1930,3,1,5,0
High,2004,6,2,8,0
Low,1950,3,1,6,1
Low,1950,3,1.5,6,2
Low,1940,2,1,5,0
Low,1967,3,1,8,0
Low,1960,2,1,4,0
Low,1945,3,1,5,0
Low,1920,3,1.5,6,0
Low,1967,3,1.5,7,0
High,1910,3,2,6,0
Low,1930,3,1.5,7,0
High,1910,3,2,7,1
Low,1936,4,1.5,7,1
Low,1962,3,1,7,0
Low,1930,4,1,6,0
Low,1962,3,1,7,0
Low,1860,4,2,8,1
Low,1967,3,1.5,6,0
Low,1955,3,1.5,7,0
Low,1967,2,1,7,0
Low,1950,3,1,5,0
High,1920,4,2,7,2
Low,1960,3,2,6,0
High,1998,5,2,9,0
Low,1950,4,1.5,7,2
Low,1937,4,2,7,1
Low,1930,3,1.5,6,0
Low,1920,2,2,5,0
Low,1950,3,1,6,0
Low,1967,3,1.5,7,0
Low,1950,3,1.5,7,0
Low,1955,3,2,7,0
Low,1935,3,1.5,10,0
Low,1924,3,2,6,0
Low,1938,3,1.5,7,0
Low,1915,3,1,6,0
Low,1885,3,1.5,6,0
Low,1920,3,1.5,6,0
Low,1962,3,1.5,5,0
Low,1950,3,1,6,1
Low,1950,3,1,7,0
Low,1945,3,1,5,2
Low,1931,4,1,7,1
Low,1962,2,2,6,0
Low,1967,3,1.5,7,1
Low,1987,3,2,6,0
Low,1955,3,1,6,0
Low,1930,4,1,6,1
Low,1920,4,1,6,0
High,1996,3,2,5,0
Low,1925,3,1,5,0
Low,1910,3,1.5,6,0
Low,1930,3,1,7,0
Low,1950,3,1,7,1
High,1920,3,2,7,0
Low,1935,3,2,5,0
Low,1930,4,1,6,0
Low,1924,4,1.5,7,0
Low,1955,3,1,6,0
Low,1930,4,2,6,0
Low,1960,3,1,8,0
High,1987,5,1.5,6,0
Low,1950,3,1,7,1
Low,1962,3,1.5,6,1
Low,1925,2,1,5,0
Low,1955,2,1,3,0
Low,1952,2,1,5,0
Low,1900,3,2,6,0
Low,1955,3,1.5,6,0
Low,1962,3,1.5,5,0
Low,1950,3,1,6,0
Low,1900,3,1.5,7,1
Low,1950,3,1.5,6,0
Low,1950,3,2,7,0
Low,1920,3,2,6,0
Low,1950,3,1.5,6,0
Low,1922,3,1.5,5,0
High,1974,5,2,9,0
High,1950,4,2,7,2
Low,1890,3,1.5,6,0
High,1965,4,2,7,0
Low,1950,3,1,8,0
Low,1970,3,2,7,0
Low,1956,3,1,7,0
High,1960,5,1,7,0
Low,1970,3,1,5,0
High,1950,3,2,7,0
Low,1920,3,2,7,2
High,1820,4,2,7,0
Low,1950,3,1.5,6,0
High,1950,3,2,8,2
Low,1955,3,1,8,0
Low,1956,3,1,6,0
Low,1965,3,2,8,0
Low,1970,3,2,7,0
Low,1950,4,1,6,0
Low,1900,3,2,7,0
Low,1925,2,1,5,0
Low,1960,3,1.5,6,0
Low,1900,4,2,9,0
High,1850,3,2,8,1
High,1988,3,2,7,0
Low,1942,3,2,7,0
Low,1875,3,2,5,0
Low,1965,3,2,6,0
Low,1955,3,1.5,6,2
Low,1960,4,1.5,7,0
Low,1960,3,2,7,0
Low,1930,4,1,5,0
Low,1954,3,1.5,6,1
Low,1950,2,1,5,0
Low,1956,3,1,6,0
Low,1970,3,2,7,2
High,1960,3,1,7,0
Low,1950,3,1,7,0
Low,1950,3,1.5,4,2
Low,1875,3,2,9,0
Low,1960,3,2,8,1
High,2009,4,2,9,0
Low,1965,3,2,7,0
High,1940,3,1.5,6,2
Low,1965,3,2,8,0
Low,1964,3,1.5,6,0
Low,1940,3,2,8,0
Low,1970,3,2,8,0
Low,1970,3,2,8,0
Low,1950,2,1,4,0
High,1989,3,2,6,2
High,1910,5,2.5,10,1
Low,1910,4,2,8,2
Low,1950,3,1.5,6,2
Low,1954,3,1.5,6,0
Low,1947,3,2,6,0
Low,1940,3,2,6,2
Low,1940,3,2,6,0
Low,1965,3,2,7,0
High,2003,4,2,8,0
Low,1925,3,1.5,6,0
High,1910,4,1.5,7,2
Low,1910,3,2,6,0
Low,1950,3,1.5,7,0
Low,1965,3,2,6,0
Low,1950,3,1.5,7,0
Low,1930,3,2,7,1
High,1940,4,1,8,2
High,1990,3,2,6,0
High,1920,3,2,6,2
Low,1900,3,2,6,1
Low,1947,3,2,7,0
Low,1920,3,1.5,6,0
High,1988,3,2,6,1
Low,1920,2,2,6,0
High,1910,3,2,7,2
Low,1920,3,2,7,0
Low,1930,4,2,8,2
Low,1875,3,2,6,0
High,1910,5,2,9,0
Low,1950,2,1,4,0
High,1960,4,2,9,0
Low,1900,3,1.5,6,2
High,1989,4,2,8,0
Low,1925,4,2,7,1
Low,1970,3,2,7,0
High,1990,3,2,8,0
Low,1945,2,1,5,1
Low,1935,3,1,6,0
Low,1925,4,1,5,0
Low,1955,3,1.5,6,0
Low,1947,3,2,6,2
Low,1935,3,2,7,0
Low,1850,3,1.5,6,1
High,1989,3,2.5,6,0
Low,1986,4,2,8,1
Low,1900,3,1.5,7,2
Low,1891,5,2,7,1
Low,1910,3,1,6,2
Low,1950,3,1.5,7,0
Low,1970,3,2,7,0
Low,1925,4,1.5,6,0
High,2009,5,2,9,0
Low,1900,3,2,6,2
Low,1940,3,1,7,0
Low,1920,4,1,6,0
High,1989,3,2,7,0
Low,1930,3,2,6,2
Low,1935,3,2,6,0
Low,1947,3,2,6,0
Low,1952,2,1,6,0
Low,1920,4,1,6,2
Low,1928,3,2,8,0
Low,1935,3,1,5,0
Low,1925,4,2,10,2
Low,1998,3,2,7,0
High,1935,3,2,10,0
Low,1970,3,2,7,0
Low,1935,2,1,5,0
High,2006,4,2,9,0
High,1875,5,2,10,1
High,1950,4,1.5,11,0
Low,1990,3,2,6,0
High,1989,3,2,8,0
Low,1954,2,1,5,0
Low,1925,3,1,7,2
High,1924,5,2,10,2
Low,1954,3,1,6,0
High,1810,4,2,6,0
Low,1920,3,2,8,0
Low,1970,3,2,7,1
Low,1928,3,1.5,5,2
High,1926,4,1.5,7,0
High,1935,4,2,8,2
High,1954,5,1.5,11,0
Low,1925,2,1,5,0
High,1990,3,2,6,0
High,1989,3,2,6,0
High,1935,3,2,6,2
Low,1954,3,1,5,0
Low,1885,3,2,6,1
High,1961,3,2,8,0
Low,1960,3,1.5,7,0
Low,1950,3,1,6,0
Low,1810,3,2,7,0
Low,1970,3,2,7,0
Low,1960,3,2,7,0
Low,1920,3,2,7,0
Low,1926,3,1,6,0
Low,1965,3,2,7,0
High,1920,5,1.5,7,2
High,1989,3,2,6,0
Low,1935,3,1,5,0
High,1990,3,2,9,0
Low,1950,3,2,6,0
Low,1914,3,1,6,2
Low,1925,3,1,5,0
Low,1955,3,1,6,0
High,1920,3,2,8,2
Low,1941,3,2,7,0
Low,1970,3,2,7,0
Low,1950,3,1,5,0
Low,1960,3,2,7,0
Low,1890,4,2,10,0
Low,1947,3,2,6,0
Low,1935,2,1,6,0
Low,1924,3,2,7,0
Low,1935,2,2,6,0
Low,1953,3,1,6,0
Low,1935,3,2,6,2
High,1989,3,2,7,0
Low,1950,3,2,6,0
Low,1920,3,2,10,0
High,1940,4,2,8,0
High,1990,3,2,6,0
Low,1930,3,2,7,0
Low,1953,4,1,9,0
Low,1960,3,2,7,0
High,1920,4,2,8,2
Low,1955,3,1,5,1
Low,1900,4,2,8,1
Low,1960,3,1,6,0
Low,1947,3,2,6,0
Low,1935,2,1,5,0
Low,1959,4,2,8,1
High,1935,4,2,7,0
Low,1935,2,1,5,0
Low,1926,2,1,5,0
Low,1950,3,1,5,0
High,1863,3,1.5,7,1
Low,1940,3,2,10,0
Low,1950,3,2,6,0
Low,1952,3,1.5,6,0
High,1989,3,2,7,0
High,1928,3,2,8,1
Low,1938,3,2,7,0
High,1925,3,2,8,2
Low,1947,3,2,6,1
Low,1935,3,2,6,0
High,1935,4,2,8,0
Low,1953,4,1.5,6,0
Low,1860,4,2,11,1
Low,1953,3,1.5,6,0
Low,1920,3,2,7,0
Low,1925,5,1,7,0
Low,1935,2,1,5,0
High,1953,5,1,7,0
Low,1926,3,1.5,8,1
Low,1970,4,1,8,0
Low,1940,3,1,6,2
Low,1906,3,2,7,0
High,1950,4,2,9,2
Low,1935,2,1,5,0
High,1991,3,2,7,0
Low,1925,3,1,7,0
Low,1920,3,2,8,0
Low,1950,3,1,6,0
Low,1943,3,2,8,0
Low,1989,2,2,5,0
High,1988,5,2,7,0
High,1920,3,2,7,1
High,1935,4,2,9,2
Low,1930,5,2,9,0
High,1935,4,2,7,2
Low,1920,3,2,6,0
Low,1920,3,1,5,0
Low,1910,4,2,7,0
Low,1950,2,2,6,0
High,1935,3,2,7,0
Low,1963,3,2,5,0
High,1990,4,2.5,6,0
High,1950,5,1,8,1
Low,1959,3,1,5,0
Low,1925,3,1,7,2
